case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,next_command,fix_steps
NS-011,"VLAN 60 users cannot communicate with each other on the same switch.","Ports Fa0/10 and Fa0/11 should be access ports in VLAN 60.","show vlan brief: VLAN 60 not found. Fa0/10 assigned to VLAN 1 and Fa0/11 assigned to VLAN 1.","VLAN 60 has not been created or assigned to access ports.","Layer 2","VLAN","Medium","show vlan brief","Create VLAN 60 and assign both access ports; verify MAC learning in VLAN 60."
NS-012,"Server in DMZ cannot return traffic to campus clients.","DMZ router has connected route to server and default route to ISP only.","show ip route on DMZ-R: no route to 172.16.0.0/16. Ping from campus reaches DMZ interface but replies fail.","DMZ router lacks a return route to the campus network.","Layer 3","Routing","High","show ip route 172.16.0.0","Add route to campus summary via the core router; verify bidirectional ping."
NS-013,"Printer has IP address but PCs in same VLAN cannot reach it.","Printer was manually configured with IP 192.168.70.45.","Printer config: subnet mask 255.255.0.0. VLAN 70 uses 255.255.255.0. ARP entries look inconsistent.","Printer subnet mask is too broad for the VLAN.","Layer 3","Addressing","Medium","show arp | include 192.168.70.45","Set printer mask to 255.255.255.0; renew neighbor entries and test printing."
NS-014,"New access point SSID is visible but clients cannot reach network resources.","AP uplink connects to SW2 Gi0/5 and should be trunked.","show interfaces Gi0/5 switchport: operational mode static access; access vlan 1. WLAN users expected in VLAN 80.","AP uplink is configured as access instead of trunk.","Layer 2","Wireless","High","show interfaces gi0/5 switchport","Configure AP uplink as trunk and allow required WLAN VLANs; reconnect client."
NS-015,"PC in VLAN 100 can reach internet but not internal file server by IP.","Security ACL is applied between user VLAN and server VLAN.","show access-lists USERS-TO-SERVERS: deny tcp 192.168.100.0 0.0.0.255 host 10.1.5.20 eq 445 matches deny.","ACL blocks SMB traffic to the file server.","Layer 4","ACL","Medium","show access-lists USERS-TO-SERVERS","Permit authorized SMB traffic above the deny rule; verify with server access test."
NS-016,"Remote office phones fail to register after subnet change.","Voice VLAN changed from 192.168.150.0/24 to 192.168.151.0/24.","show ip dhcp pool VOICE: network 192.168.150.0 /24 default-router 192.168.150.1 option 150 10.10.10.10.","Voice DHCP pool still references the old subnet and gateway.","Layer 3","DHCP","High","show ip dhcp binding","Update voice DHCP network and default router; clear old bindings; reboot one test phone."
NS-017,"Host can reach local subnets but not internet after NAT ACL edit.","PAT uses ACL 1 to identify inside networks.","show run | include access-list 1: access-list 1 permit 192.168.99.0 0.0.0.255. Inside LAN is 192.168.10.0/24.","NAT ACL matches the wrong inside subnet.","Layer 3","NAT","High","show run | section ip nat","Correct NAT ACL to permit the inside LAN; clear translations and test internet access."
NS-018,"Only VLAN 200 fails across the distribution trunk.","Other VLANs pass correctly between SW1 and DSW1.","show interfaces trunk: Gi1/0/1 allowed vlans 10,20,30,100. VLAN 200 not allowed on trunk.","VLAN 200 is missing from the trunk allowed VLAN list.","Layer 2","Trunking","Medium","show interfaces trunk","Add VLAN 200 to the allowed VLAN list on both trunk ends; verify spanning-tree state."
NS-019,"A lab PC cannot ping anything outside its subnet.","PC address is 192.168.12.50/24; gateway should be 192.168.12.1.","ipconfig: Default Gateway 192.168.21.1. Ping 192.168.12.1 succeeds only when manually targeted.","PC default gateway is set to the wrong subnet.","Layer 3","Gateway","High","ipconfig /all","Change default gateway to 192.168.12.1; verify route table and remote ping."
NS-020,"Core switch cannot route between VLANs after new SVI was added.","Multilayer switch should perform inter-VLAN routing.","show run: no ip routing. show ip route unavailable; show interfaces vlan shows SVIs up.","IP routing is disabled on the multilayer switch.","Layer 3","Routing","High","show running-config | include ip routing","Enable ip routing; verify connected routes and inter-VLAN reachability."
NS-021,"Wireless guest clients receive corporate VLAN addresses.","Controller maps SSID Guest to VLAN 10 instead of VLAN 90.","show wlan summary: Guest interface VLAN 10. Corporate users also use VLAN 10.","Guest SSID is mapped to the wrong VLAN.","Layer 2","Wireless","Critical","show wlan summary","Map Guest SSID to VLAN 90 and enforce guest ACL; renew guest client lease."
NS-022,"DNS server is reachable by IP but users get stale intranet address.","Internal DNS zone was updated during server migration.","nslookup intranet.local: returns 10.1.1.20. New server IP is 10.1.1.30. Ping 10.1.1.30 succeeds.","DNS A record points to the old server address.","Layer 7","DNS","Medium","nslookup intranet.local","Update DNS A record to 10.1.1.30; clear DNS cache; retest by hostname."
NS-023,"Laptop on access port cannot join VLAN 35 network.","Switchport was copied from a trunk configuration.","show interfaces Fa0/7 switchport: administrative mode trunk; access vlan 35; operational trunking encapsulation dot1q.","User-facing port is incorrectly configured as a trunk.","Layer 2","VLAN","Medium","show interfaces fa0/7 switchport","Set the port to access mode in VLAN 35; disable unused trunk negotiation."
NS-024,"Server replies fail after default gateway replacement.","Server IP is 10.5.5.25/24; gateway should now be 10.5.5.1.","Server config: default gateway 10.5.5.254. Router 10.5.5.254 removed from topology.","Server default gateway points to a removed router.","Layer 3","Gateway","High","show arp | include 10.5.5.25","Set server default gateway to 10.5.5.1; verify return path with traceroute."
NS-025,"OSPF neighbors form but remote LAN route is absent.","R2 remote LAN interface is newly added.","show ip protocols: network 10.0.0.0 0.0.0.3 area 0 only. show ip route ospf lacks 192.168.220.0/24.","Routing process does not advertise the new LAN network.","Layer 3","Routing","Medium","show ip ospf interface brief","Add the LAN network to OSPF or advertise connected route; verify route propagation."
NS-026,"Inside host reaches external IP but return traffic is dropped at edge firewall ACL.","Edge router has ACL OUTSIDE-IN applied inbound from ISP.","show access-lists OUTSIDE-IN: deny ip any 192.168.10.0 0.0.0.255 matches deny. NAT translation exists for host.","Outside inbound ACL blocks return traffic to translated inside host.","Layer 4","ACL","High","show access-lists OUTSIDE-IN","Permit established or expected return traffic according to lab policy; retest session."
NS-027,"New VLAN 45 users can ping gateway but not DHCP server across router.","DHCP relay should forward broadcasts to 10.10.40.5.","show run interface vlan 45: ip address 192.168.45.1 255.255.255.0; ip helper-address 10.10.40.50. DHCP server is 10.10.40.5.","DHCP helper address points to the wrong server.","Layer 3","DHCP","Medium","show running-config interface vlan 45","Correct helper address to 10.10.40.5; renew lease and check server bindings."
NS-028,"All hosts on switch lose connectivity after unused ports were secured.","Port security was enabled from a template.","show port-security interface Fa0/1: secure-shutdown. show interface Fa0/1: line protocol is down err-disabled.","Port security violation has err-disabled the uplink port.","Layer 2","Interface","Critical","show interfaces status err-disabled","Move port security off the uplink or adjust policy; recover interface and verify MAC limits."
NS-029,"Web server is reachable internally but not from outside via public IP.","Static NAT should map 203.0.113.10 to 10.10.10.20.","show ip nat translations: no static entry for 203.0.113.10. show run: missing ip nat inside source static tcp statement.","Static NAT mapping for the web server is missing.","Layer 3","NAT","High","show ip nat translations","Add the static NAT mapping and permit HTTP/HTTPS in edge policy; verify from outside host."
NS-030,"Intermittent failures occur between two switches after a native VLAN change.","Trunk between SW1 and SW2 carries user VLANs and native VLAN 999.","show interfaces trunk: SW1 native vlan 999; SW2 native vlan 1. CDP reports native VLAN mismatch.","Native VLAN mismatch exists on the trunk.","Layer 2","Trunking","Medium","show interfaces trunk","Set matching native VLAN on both trunk ends; clear counters and verify CDP warnings stop."
